month,soi_index
January-1866,-0.616
February-1866,-0.117
March-1866,-0.615
April-1866,-0.646
May-1866,0.038
June-1866,-0.815
July-1866,-0.345
August-1866,0.36
September-1866,-0.176
October-1866,0.072
November-1866,1.097
December-1866,-0.159
January-1867,0.095
February-1867,-0.012
March-1867,-0.091
April-1867,0.83
May-1867,0.503
June-1867,-0.483
July-1867,0.44
August-1867,0.34
September-1867,0.12
October-1867,-0.558
November-1867,-0.649
December-1867,-0.889
January-1868,-0.163
February-1868,-0.337
March-1868,-1.563
April-1868,0.303
May-1868,-1.336
June-1868,-2.199
July-1868,-0.402
August-1868,-1.415
September-1868,-1.226
October-1868,-1.241
November-1868,-1.493
December-1868,0.515
January-1869,-1.896
February-1869,-0.264
March-1869,-0.586
April-1869,2.117
May-1869,1.405
June-1869,1.534
July-1869,1.422
August-1869,0.936
September-1869,0.117
October-1869,0.852
November-1869,0.563
December-1869,0.422
January-1870,0.181
February-1870,-0.746
March-1870,0.472
April-1870,-0.113
May-1870,-1.103
June-1870,0.172
July-1870,0.979
August-1870,-0.002
September-1870,-0.578
October-1870,-0.856
November-1870,-1.294
December-1870,-1.129
January-1871,-0.129
February-1871,-2
March-1871,-0.456
April-1871,-0.47
May-1871,0.245
June-1871,0.313
July-1871,0.382
August-1871,0.576
September-1871,-0.138
October-1871,-0.021
November-1871,0.97
December-1871,2.69
January-1872,1.117
February-1872,1.689
March-1872,-0.541
April-1872,1.354
May-1872,2.454
June-1872,2.301
July-1872,0.986
August-1872,3.142
September-1872,1.895
October-1872,3.092
November-1872,2.795
December-1872,2.469
January-1873,1.124
February-1873,1.627
March-1873,2.285
April-1873,1.185
May-1873,-3.09
June-1873,-1.141
July-1873,-0.586
August-1873,-2.134
September-1873,-1.775
October-1873,-0.356
November-1873,1.332
December-1873,0.901
January-1874,-0.277
February-1874,-0.52
March-1874,0.978
April-1874,1.289
May-1874,-1.923
June-1874,-0.144
July-1874,0.753
August-1874,2.031
September-1874,2.193
October-1874,0.534
November-1874,1.277
December-1874,0.655
January-1875,-0.112
February-1875,-0.997
March-1875,1.4
April-1875,0.753
May-1875,2.573
June-1875,-0.485
July-1875,-0.212
August-1875,0.826
September-1875,0.929
October-1875,-1.54
November-1875,-0.54
December-1875,1.156
January-1876,0.981
February-1876,-0.102
March-1876,0.936
April-1876,0.745
May-1876,1.976
June-1876,-0.509
July-1876,1.082
August-1876,0.98
September-1876,-1
October-1876,-0.464
November-1876,-0.451
December-1876,-0.882
January-1877,-1.444
February-1877,-1.069
March-1877,-3.873
April-1877,-1.706
May-1877,-4.344
June-1877,-0.957
July-1877,-1.058
August-1877,-1.71
September-1877,-1.697
October-1877,-1.307
November-1877,-1.516
December-1877,-0.979
January-1878,-2.216
February-1878,-1.857
March-1878,-1.068
April-1878,0.103
May-1878,-0.587
June-1878,1.597
July-1878,1.124
August-1878,1.695
September-1878,0.937
October-1878,1.387
November-1878,1.892
December-1878,1.283
January-1879,1.329
February-1879,1.304
March-1879,1.589
April-1879,0.103
May-1879,1.849
June-1879,2.192
July-1879,2.201
August-1879,1.795
September-1879,1.525
October-1879,0.761
November-1879,-0.708
December-1879,1.136
January-1880,0.703
February-1880,1.429
March-1880,0.788
April-1880,1.225
May-1880,0.973
June-1880,0.212
July-1880,1.261
August-1880,0.734
September-1880,0.561
October-1880,0.742
November-1880,-0.332
December-1880,-0.84
January-1881,-0.667
February-1881,0.016
March-1881,0.429
April-1881,-0.555
May-1881,-0.783
June-1881,-0.509
July-1881,-1.395
August-1881,-1.352
September-1881,-2.599
October-1881,0.492
November-1881,0.698
December-1881,-0.764
January-1882,-0.261
February-1882,0.409
March-1882,-0.055
April-1882,0.347
May-1882,-1.754
June-1882,-2.125
July-1882,-2.743
August-1882,-1.444
September-1882,-0.093
October-1882,0.212
November-1882,1.044
December-1882,0.48
January-1883,-0.948
February-1883,-2.938
March-1883,1.632
April-1883,1.468
May-1883,0.257
June-1883,-1.011
July-1883,0.063
August-1883,-0.81
September-1883,0.355
October-1883,0.194
November-1883,-1.774
December-1883,-1.398
January-1884,-0.613
February-1884,0.882
March-1884,-1.595
April-1884,0.18
May-1884,0.984
June-1884,-0.276
July-1884,-0.633
August-1884,-0.702
September-1884,0.381
October-1884,-0.26
November-1884,-1.5
December-1884,-1.783
January-1885,0.037
February-1885,0.386
March-1885,0.155
April-1885,0.014
May-1885,-1.911
June-1885,-0.446
July-1885,-1.135
August-1885,-0.431
September-1885,-1.922
October-1885,-1.547
November-1885,0.466
December-1885,-0.217
January-1886,0.005
February-1886,0.149
March-1886,0.493
April-1886,0.539
May-1886,0.429
June-1886,0.741
July-1886,1.33
August-1886,1.282
September-1886,1.301
October-1886,0.882
November-1886,1.508
December-1886,1.201
January-1887,0.953
February-1887,0.947
March-1887,0.999
April-1887,-0.584
May-1887,0.465
June-1887,0.525
July-1887,0.333
August-1887,0.451
September-1887,0.506
October-1887,-0.633
November-1887,0.454
December-1887,-0.322
January-1888,-0.328
February-1888,-1.475
March-1888,-2.797
April-1888,-1.12
May-1888,-2.155
June-1888,-1.643
July-1888,-1.093
August-1888,-0.938
September-1888,-1.611
October-1888,-1.369
November-1888,-0.395
December-1888,-2.841
January-1889,-0.213
February-1889,-3.196
March-1889,0.071
April-1889,-0.191
May-1889,2.493
June-1889,0.178
July-1889,0.046
August-1889,1.051
September-1889,0.285
October-1889,1.919
November-1889,2.349
December-1889,2.163
January-1890,1.032
February-1890,1.427
March-1890,0.746
April-1890,0.345
May-1890,0.449
June-1890,-0.23
July-1890,-0.417
August-1890,0.883
September-1890,0.174
October-1890,0.162
November-1890,-0.042
December-1890,1.555
January-1891,-0.491
February-1891,-1.223
March-1891,0.704
April-1891,0.279
May-1891,-0.284
June-1891,-0.578
July-1891,-1.197
August-1891,-1.077
September-1891,0.054
October-1891,-0.487
November-1891,-0.619
December-1891,0.199
January-1892,-1.127
February-1892,1.087
March-1892,0.957
April-1892,1.373
May-1892,2.253
June-1892,0.781
July-1892,0.484
August-1892,0.007
September-1892,0.852
October-1892,-0.878
November-1892,0.298
December-1892,0.912
January-1893,0.652
February-1893,0.32
March-1893,1.442
April-1893,1.76
May-1893,2.149
June-1893,1.876
July-1893,0.602
August-1893,1.212
September-1893,0.626
October-1893,0.828
November-1893,-0.496
December-1893,2.149
January-1894,0.969
February-1894,0.823
March-1894,1.104
April-1894,-0.857
May-1894,-0.008
June-1894,0.471
July-1894,-1.405
August-1894,-0.241
September-1894,0.31
October-1894,-0.894
November-1894,0.065
December-1894,0.544
January-1895,0.617
February-1895,-0.265
March-1895,1.336
April-1895,0.651
May-1895,-1.255
June-1895,-0.747
July-1895,-1.019
August-1895,-0.522
September-1895,-0.817
October-1895,-0.47
November-1895,-1
December-1895,0.072
January-1896,0.372
February-1896,-0.841
March-1896,-1.194
April-1896,-3.232
May-1896,-2.987
June-1896,-1.39
July-1896,-2.548
August-1896,-1.877
September-1896,-2.008
October-1896,-1.262
November-1896,-1.693
December-1896,-1.42
January-1897,-0.861
February-1897,-2.007
March-1897,-1.996
April-1897,-1.587
May-1897,-0.159
June-1897,-0.19
July-1897,-0.105
August-1897,-0.004
September-1897,0.099
October-1897,-0.964
November-1897,1.044
December-1897,0.649
January-1898,0.474
February-1898,2.018
March-1898,1.336
April-1898,-0.106
May-1898,-0.507
June-1898,0.649
July-1898,0.719
August-1898,0.878
September-1898,0.344
October-1898,0.016
November-1898,0.422
December-1898,1.314
January-1899,0.866
February-1899,1.383
March-1899,0.493
April-1899,-0.756
May-1899,-1.427
June-1899,-0.531
July-1899,-1.177
August-1899,-0.189
September-1899,0.743
October-1899,1.657
November-1899,-0.443
December-1899,-0.891
January-1900,-0.729
February-1900,-2.953
March-1900,-2.101
April-1900,-0.756
May-1900,3.096
June-1900,1.017
July-1900,0.751
