Month,SOI_index,Weather
01/01/1866,-0.616,El Nino
01/02/1866,-0.117,La Nada
01/03/1866,-0.615,El Nino
01/04/1866,-0.646,El Nino
01/05/1866,0.038,La Nada
01/06/1866,-0.815,El Nino
01/07/1866,-0.345,La Nada
01/08/1866,0.36,La Nada
01/09/1866,-0.176,La Nada
01/10/1866,0.072,La Nada
01/11/1866,1.097,La Nina
01/12/1866,-0.159,La Nada
01/01/1867,0.095,La Nada
01/02/1867,-0.012,La Nada
01/03/1867,-0.091,La Nada
01/04/1867,0.83,La Nina
01/05/1867,0.503,La Nina
01/06/1867,-0.483,El Nino
01/07/1867,0.44,La Nada
01/08/1867,0.34,La Nada
01/09/1867,0.12,La Nada
01/10/1867,-0.558,El Nino
01/11/1867,-0.649,El Nino
01/12/1867,-0.889,El Nino
01/01/1868,-0.163,La Nada
01/02/1868,-0.337,La Nada
01/03/1868,-1.563,El Nino
01/04/1868,0.303,La Nada
01/05/1868,-1.336,El Nino
01/06/1868,-2.199,El Nino
01/07/1868,-0.402,La Nada
01/08/1868,-1.415,El Nino
01/09/1868,-1.226,El Nino
01/10/1868,-1.241,El Nino
01/11/1868,-1.493,El Nino
01/12/1868,0.515,La Nina
01/01/1869,-1.896,El Nino
01/02/1869,-0.264,La Nada
01/03/1869,-0.586,El Nino
01/04/1869,2.117,La Nina
01/05/1869,1.405,La Nina
01/06/1869,1.534,La Nina
01/07/1869,1.422,La Nina
01/08/1869,0.936,La Nina
01/09/1869,0.117,La Nada
01/10/1869,0.852,La Nina
01/11/1869,0.563,La Nina
01/12/1869,0.422,La Nada
01/01/1870,0.181,La Nada
01/02/1870,-0.746,El Nino
01/03/1870,0.472,La Nina
01/04/1870,-0.113,La Nada
01/05/1870,-1.103,El Nino
01/06/1870,0.172,La Nada
01/07/1870,0.979,La Nina
01/08/1870,-0.002,La Nada
01/09/1870,-0.578,El Nino
01/10/1870,-0.856,El Nino
01/11/1870,-1.294,El Nino
01/12/1870,-1.129,El Nino
01/01/1871,-0.129,La Nada
01/02/1871,-2,El Nino
01/03/1871,-0.456,La Nada
01/04/1871,-0.47,El Nino
01/05/1871,0.245,La Nada
01/06/1871,0.313,La Nada
01/07/1871,0.382,La Nada
01/08/1871,0.576,La Nina
01/09/1871,-0.138,La Nada
01/10/1871,-0.021,La Nada
01/11/1871,0.97,La Nina
01/12/1871,2.69,La Nina
01/01/1872,1.117,La Nina
01/02/1872,1.689,La Nina
01/03/1872,-0.541,El Nino
01/04/1872,1.354,La Nina
01/05/1872,2.454,La Nina
01/06/1872,2.301,La Nina
01/07/1872,0.986,La Nina
01/08/1872,3.142,La Nina
01/09/1872,1.895,La Nina
01/10/1872,3.092,La Nina
01/11/1872,2.795,La Nina
01/12/1872,2.469,La Nina
01/01/1873,1.124,La Nina
01/02/1873,1.627,La Nina
01/03/1873,2.285,La Nina
